Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-04 00:00:00-03:00,6.769999980926514,6.820000171661377,6.690000057220459,6.710000038146973,11698300,0.0,0.0
2024-04-05 00:00:00-03:00,6.710000038146973,6.760000228881836,6.550000190734863,6.619999885559082,8445700,0.0,0.0
2024-04-08 00:00:00-03:00,6.650000095367432,6.659999847412109,6.570000171661377,6.599999904632568,7657500,0.0,0.0
2024-04-09 00:00:00-03:00,6.599999904632568,6.71999979019165,6.519999980926514,6.559999942779541,9762700,0.0,0.0
2024-04-10 00:00:00-03:00,6.519999980926514,6.570000171661377,6.420000076293945,6.460000038146973,12493000,0.0,0.0
2024-04-11 00:00:00-03:00,6.480000019073486,6.579999923706055,6.440000057220459,6.5,9769600,0.0,0.0
2024-04-12 00:00:00-03:00,6.5,6.510000228881836,6.21999979019165,6.409999847412109,17509300,0.0,0.0
2024-04-15 00:00:00-03:00,6.349999904632568,6.349999904632568,5.960000038146973,6.039999961853027,33348500,0.0,0.0
2024-04-16 00:00:00-03:00,6.010000228881836,6.119999885559082,5.949999809265137,6.0,16433200,0.0,0.0
2024-04-17 00:00:00-03:00,6.03000020980835,6.090000152587891,5.989999771118164,6.039999961853027,14748500,0.0,0.0
2024-04-18 00:00:00-03:00,6.059999942779541,6.110000133514404,6.019999980926514,6.099999904632568,7036100,0.0,0.0
2024-04-19 00:00:00-03:00,6.090000152587891,6.190000057220459,6.039999961853027,6.079999923706055,9193300,0.0,0.0
2024-04-22 00:00:00-03:00,6.099999904632568,6.230000019073486,6.079999923706055,6.150000095367432,7947000,0.0,0.0
2024-04-23 00:00:00-03:00,6.130000114440918,6.179999828338623,6.039999961853027,6.090000152587891,6263400,0.0,0.0
2024-04-24 00:00:00-03:00,6.119999885559082,6.139999866485596,6.050000190734863,6.050000190734863,5566400,0.0,0.0
2024-04-25 00:00:00-03:00,6.059999942779541,6.079999923706055,5.960000038146973,6.010000228881836,7820900,0.0,0.0
2024-04-26 00:00:00-03:00,6.03000020980835,6.170000076293945,6.03000020980835,6.130000114440918,7661700,0.0,0.0
2024-04-29 00:00:00-03:00,6.139999866485596,6.190000057220459,6.119999885559082,6.170000076293945,3496900,0.0,0.0
2024-04-30 00:00:00-03:00,6.170000076293945,6.170000076293945,6.050000190734863,6.119999885559082,4983400,0.0,0.0
2024-05-02 00:00:00-03:00,6.210000038146973,6.21999979019165,6.03000020980835,6.070000171661377,7734800,0.0,0.0
2024-05-03 00:00:00-03:00,6.119999885559082,6.28000020980835,6.110000133514404,6.239999771118164,10044800,0.0,0.0
2024-05-06 00:00:00-03:00,6.179999828338623,6.210000038146973,5.900000095367432,6.010000228881836,24416600,0.0,0.0
2024-05-07 00:00:00-03:00,6.019999980926514,6.090000152587891,6.010000228881836,6.019999980926514,5827700,0.0,0.0
2024-05-08 00:00:00-03:00,6.03000020980835,6.130000114440918,5.96999979019165,6.079999923706055,9250400,0.0,0.0
2024-05-09 00:00:00-03:00,5.929999828338623,6.300000190734863,5.929999828338623,6.239999771118164,14090000,0.0,0.0
2024-05-10 00:00:00-03:00,6.28000020980835,6.480000019073486,6.230000019073486,6.340000152587891,13289300,0.0,0.0
2024-05-13 00:00:00-03:00,6.179999828338623,6.25,6.079999923706055,6.190000057220459,8158300,0.0,0.0
2024-05-14 00:00:00-03:00,6.190000057220459,6.309999942779541,6.170000076293945,6.190000057220459,5920200,0.0,0.0
2024-05-15 00:00:00-03:00,6.190000057220459,6.380000114440918,6.190000057220459,6.289999961853027,7183400,0.0,0.0
2024-05-16 00:00:00-03:00,6.320000171661377,6.880000114440918,6.309999942779541,6.789999961853027,24098100,0.0,0.0
2024-05-17 00:00:00-03:00,6.789999961853027,7.03000020980835,6.789999961853027,6.869999885559082,14374500,0.0,0.0
2024-05-20 00:00:00-03:00,6.800000190734863,7.03000020980835,6.710000038146973,6.989999771118164,9921300,0.0,0.0
2024-05-21 00:00:00-03:00,7.010000228881836,7.150000095367432,6.909999847412109,6.940000057220459,11240800,0.0,0.0
2024-05-22 00:00:00-03:00,6.840000152587891,6.900000095367432,6.269999980926514,6.340000152587891,21977400,0.0,0.0
2024-05-23 00:00:00-03:00,6.340000152587891,6.519999980926514,6.340000152587891,6.409999847412109,8351100,0.0,0.0
2024-05-24 00:00:00-03:00,6.429999828338623,6.670000076293945,6.429999828338623,6.550000190734863,7831500,0.0,0.0
2024-05-27 00:00:00-03:00,6.579999923706055,6.599999904632568,6.420000076293945,6.480000019073486,3730800,0.0,0.0
2024-05-28 00:00:00-03:00,6.510000228881836,6.570000171661377,6.420000076293945,6.460000038146973,5174400,0.0,0.0
2024-05-29 00:00:00-03:00,6.420000076293945,6.440000057220459,6.300000190734863,6.320000171661377,5015500,0.0,0.0
2024-05-31 00:00:00-03:00,6.309999942779541,6.369999885559082,6.199999809265137,6.199999809265137,6711000,0.0,0.0
2024-06-03 00:00:00-03:00,6.210000038146973,6.309999942779541,6.110000133514404,6.25,9218100,0.0,0.0
2024-06-04 00:00:00-03:00,6.25,6.25,6.010000228881836,6.050000190734863,10652700,0.0,0.0
2024-06-05 00:00:00-03:00,6.050000190734863,6.159999847412109,5.980000019073486,6.0,11957700,0.0,0.0
2024-06-06 00:00:00-03:00,6.010000228881836,6.260000228881836,6.0,6.119999885559082,9026200,0.0,0.0
2024-06-07 00:00:00-03:00,6.050000190734863,6.230000019073486,6.010000228881836,6.099999904632568,7079000,0.0,0.0
2024-06-10 00:00:00-03:00,6.119999885559082,6.119999885559082,5.909999847412109,5.949999809265137,9211700,0.0,0.0
2024-06-11 00:00:00-03:00,5.96999979019165,6.360000133514404,5.96999979019165,6.260000228881836,13242000,0.0,0.0
2024-06-12 00:00:00-03:00,6.300000190734863,6.329999923706055,6.099999904632568,6.150000095367432,7275800,0.0,0.0
2024-06-13 00:00:00-03:00,6.159999847412109,6.239999771118164,6.119999885559082,6.130000114440918,5765700,0.0,0.0
2024-06-14 00:00:00-03:00,6.139999866485596,6.289999961853027,6.090000152587891,6.159999847412109,4869000,0.0,0.0
2024-06-17 00:00:00-03:00,6.130000114440918,6.159999847412109,6.050000190734863,6.099999904632568,3729400,0.0,0.0
2024-06-18 00:00:00-03:00,6.070000171661377,6.300000190734863,6.070000171661377,6.289999961853027,6957600,0.0,0.0
2024-06-19 00:00:00-03:00,6.289999961853027,6.539999961853027,6.239999771118164,6.46999979019165,7299900,0.0,0.0
2024-06-20 00:00:00-03:00,6.519999980926514,6.699999809265137,6.489999771118164,6.579999923706055,8275600,0.0,0.0
